"Date","R/W Count"
"2017-06-23","2"
"2017-06-24","1"
"2017-06-25","4"
"2017-06-26","0"
"2017-06-27","0"
"2017-06-28","1"
"2017-06-29","0"
"2017-06-30","2"
"2017-07-01","0"
"2017-07-02","0"
"2017-07-03","1"
"2017-07-04","0"
"2017-07-05","0"
"2017-07-06","0"
"2017-07-07","0"
"2017-07-08","0"
"2017-07-09","0"
"2017-07-10","0"
"2017-07-11","1"
"2017-07-12","0"
"2017-07-13","1"
"2017-07-14","0"
"2017-07-15","0"
"2017-07-16","0"
"2017-07-17","1"
"2017-07-18","0"
"2017-07-19","0"
"2017-07-20","1"
"2017-07-21","0"
"2017-07-22","0"
"2017-07-23","0"
"2017-07-24","1"
